20241213T,6.3,6.3,6.3,6.3,0
20241216T,19.6,19.6,19.6,19.6,0
20241217T,28.0,28.0,28.0,28.0,0
20241218T,27.7,27.7,27.7,27.7,0
20241219T,7.4,7.4,7.4,7.4,0
20241221T,1.7,1.7,1.7,1.7,0
20241223T,27.2,27.2,27.2,27.2,0
20241227T,9.7,9.7,9.7,9.7,0
20250102T,36.1,36.1,36.1,36.1,0
20250103T,20.2,20.2,20.2,20.2,0
20250106T,-20.9,-20.9,-20.9,-20.9,0
20250107T,25.1,25.1,25.1,25.1,0
20250108T,35.2,35.2,35.2,35.2,0
20250109T,32.1,32.1,32.1,32.1,0
20250113T,32.6,32.6,32.6,32.6,0
20250114T,27.0,27.0,27.0,27.0,0
20250116T,18.0,18.0,18.0,18.0,0
20250117T,-9.6,-9.6,-9.6,-9.6,0
20250120T,-20.9,-20.9,-20.9,-20.9,0
20250121T,22.3,22.3,22.3,22.3,0
20250122T,-22.6,-22.6,-22.6,-22.6,0
20250124T,-26.8,-26.8,-26.8,-26.8,0
20250128T,29.7,29.7,29.7,29.7,0
20250130T,-7.5,-7.5,-7.5,-7.5,0
20250131T,29.0,29.0,29.0,29.0,0
20250203T,-4.2,-4.2,-4.2,-4.2,0
20250206T,27.6,27.6,27.6,27.6,0
20250212T,-29.2,-29.2,-29.2,-29.2,0
20250213T,-1.1,-1.1,-1.1,-1.1,0
20250214T,4.1,4.1,4.1,4.1,0
20250219T,6.9,6.9,6.9,6.9,0
20250221T,11.9,11.9,11.9,11.9,0
20250224T,26.0,26.0,26.0,26.0,0
20250225T,-21.6,-21.6,-21.6,-21.6,0
20250227T,33.5,33.5,33.5,33.5,0
20250228T,28.4,28.4,28.4,28.4,0
20250301T,35.5,35.5,35.5,35.5,0
20250303T,-33.9,-33.9,-33.9,-33.9,0
20250304T,-33.3,-33.3,-33.3,-33.3,0
20250305T,-35.0,-35.0,-35.0,-35.0,0
20250306T,-14.7,-14.7,-14.7,-14.7,0
20250307T,-37.8,-37.8,-37.8,-37.8,0
20250310T,-12.4,-12.4,-12.4,-12.4,0
20250311T,-8.3,-8.3,-8.3,-8.3,0
20250312T,-27.3,-27.3,-27.3,-27.3,0
20250313T,-0.6,-0.6,-0.6,-0.6,0
20250314T,-36.5,-36.5,-36.5,-36.5,0
20250317T,-35.8,-35.8,-35.8,-35.8,0
20250318T,-7.2,-7.2,-7.2,-7.2,0
20250319T,0.6,0.6,0.6,0.6,0
20250320T,10.4,10.4,10.4,10.4,0
20250321T,-22.2,-22.2,-22.2,-22.2,0
20250324T,-26.2,-26.2,-26.2,-26.2,0
20250325T,-25.2,-25.2,-25.2,-25.2,0
20250326T,6.9,6.9,6.9,6.9,0
20250327T,-25.8,-25.8,-25.8,-25.8,0
20250328T,13.7,13.7,13.7,13.7,0
20250331T,-26.3,-26.3,-26.3,-26.3,0
20250401T,12.1,12.1,12.1,12.1,0
20250402T,-23.5,-23.5,-23.5,-23.5,0
20250403T,-41.1,-41.1,-41.1,-41.1,0
20250404T,10.7,10.7,10.7,10.7,0
20250407T,-3.5,-3.5,-3.5,-3.5,0
20250408T,16.9,16.9,16.9,16.9,0
20250409T,-29.9,-29.9,-29.9,-29.9,0
20250410T,-38.6,-38.6,-38.6,-38.6,0
20250414T,4.7,4.7,4.7,4.7,0
20250415T,9.4,9.4,9.4,9.4,0
20250422T,6.5,6.5,6.5,6.5,0
20250423T,12.5,12.5,12.5,12.5,0
20250424T,-28.7,-28.7,-28.7,-28.7,0
20250425T,-11.3,-11.3,-11.3,-11.3,0
20250428T,-25.5,-25.5,-25.5,-25.5,0
20250429T,16.8,16.8,16.8,16.8,0
20250430T,17.0,17.0,17.0,17.0,0
20250505T,-30.4,-30.4,-30.4,-30.4,0
20250506T,11.2,11.2,11.2,11.2,0
20250507T,-28.1,-28.1,-28.1,-28.1,0
20250508T,-15.8,-15.8,-15.8,-15.8,0
20250509T,-30.0,-30.0,-30.0,-30.0,0
20250512T,32.3,32.3,32.3,32.3,0
20250513T,23.8,23.8,23.8,23.8,0
20250514T,4.8,4.8,4.8,4.8,0
20250515T,16.7,16.7,16.7,16.7,0
20250516T,0.7,0.7,0.7,0.7,0
20250519T,-35.8,-35.8,-35.8,-35.8,0
20250520T,16.3,16.3,16.3,16.3,0
20250521T,-35.3,-35.3,-35.3,-35.3,0
20250522T,3.8,3.8,3.8,3.8,0
20250523T,-12.6,-12.6,-12.6,-12.6,0
20250526T,0.2,0.2,0.2,0.2,0
20250527T,17.9,17.9,17.9,17.9,0
20250528T,15.5,15.5,15.5,15.5,0
20250529T,-14.8,-14.8,-14.8,-14.8,0
20250530T,1.8,1.8,1.8,1.8,0
20250602T,-34.4,-34.4,-34.4,-34.4,0
20250603T,22.9,22.9,22.9,22.9,0
20250604T,6.9,6.9,6.9,6.9,0
20250605T,-31.2,-31.2,-31.2,-31.2,0
20250606T,5.7,5.7,5.7,5.7,0
20250609T,8.4,8.4,8.4,8.4,0
20250610T,-30.0,-30.0,-30.0,-30.0,0
20250611T,-31.9,-31.9,-31.9,-31.9,0
20250612T,-40.6,-40.6,-40.6,-40.6,0
20250613T,4.7,4.7,4.7,4.7,0
20250623T,20.7,20.7,20.7,20.7,0
20250624T,-0.5,-0.5,-0.5,-0.5,0
20250625T,-2.1,-2.1,-2.1,-2.1,0
20250626T,-38.7,-38.7,-38.7,-38.7,0
20250627T,-26.0,-26.0,-26.0,-26.0,0
20250630T,-2.3,-2.3,-2.3,-2.3,0
20250701T,-36.4,-36.4,-36.4,-36.4,0
20250702T,6.5,6.5,6.5,6.5,0
20250707T,18.4,18.4,18.4,18.4,0
20250708T,13.6,13.6,13.6,13.6,0
20250709T,-5.8,-5.8,-5.8,-5.8,0
20250710T,-18.3,-18.3,-18.3,-18.3,0
20250711T,-4.6,-4.6,-4.6,-4.6,0
20250714T,-1.4,-1.4,-1.4,-1.4,0
20250718T,-11.0,-11.0,-11.0,-11.0,0
20250721T,-32.6,-32.6,-32.6,-32.6,0
20250722T,4.9,4.9,4.9,4.9,0
20250723T,4.0,4.0,4.0,4.0,0
20250724T,-35.3,-35.3,-35.3,-35.3,0
20250725T,-2.0,-2.0,-2.0,-2.0,0
20250728T,31.2,31.2,31.2,31.2,0
20250729T,29.1,29.1,29.1,29.1,0
20250730T,30.9,30.9,30.9,30.9,0
20250731T,29.5,29.5,29.5,29.5,0
20250801T,-8.7,-8.7,-8.7,-8.7,0
20250804T,-9.7,-9.7,-9.7,-9.7,0
20250805T,9.6,9.6,9.6,9.6,0
20250806T,-25.4,-25.4,-25.4,-25.4,0
20250807T,-20.2,-20.2,-20.2,-20.2,0
20250808T,-15.6,-15.6,-15.6,-15.6,0
20250818T,-0.2,-0.2,-0.2,-0.2,0
20250819T,-8.2,-8.2,-8.2,-8.2,0
20250820T,-14.8,-14.8,-14.8,-14.8,0
20250821T,3.8,3.8,3.8,3.8,0
20250822T,-2.4,-2.4,-2.4,-2.4,0
20250825T,-12.6,-12.6,-12.6,-12.6,0
